"citation","doi","filename","variable","word_column","mean_column","sd_column","ss/item","min_score","max_score"
"F.-Xavier Alario, Ludovic Ferrand. (1999). A set of 400 pictures standardized for French: Norms for name agreement, image agreement, familiarity, visual complexity, image variability, and age of acquisition. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03200732","Alario1999.csv","aoa","word_spanish","aoa_mean","aoa_sd",,1.12,4.77
"F.-Xavier Alario, Ludovic Ferrand. (1999). A set of 400 pictures standardized for French: Norms for name agreement, image agreement, familiarity, visual complexity, image variability, and age of acquisition. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03200732","Alario1999.csv","familiar","word_spanish","familiar_mean","familiar_sd",,1.03,4.97
"David Allen, Kathy Conklin. (2014). Cross-linguistic similarity norms for Japanese–English translation equivalents. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0389-z","Allen2014.csv","aoa_japanese_l1","word_english","aoa_mean_japanese_l1",,,2.8,5.4
"David Allen, Kathy Conklin. (2014). Cross-linguistic similarity norms for Japanese–English translation equivalents. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0389-z","Allen2014.csv","concrete_japanese_l1","word_english","concrete_mean_japanese_l1",,,1.9,6.1
"David Allen, Kathy Conklin. (2014). Cross-linguistic similarity norms for Japanese–English translation equivalents. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0389-z","Allen2014.csv","familiar_english_l2","word_english","familiar_mean_english_l2",,,2,5.4
"María Angeles Alonso, Angel Fernandez, Emiliano Díez. (2015). Subjective age-of-acquisition norms for 7,039 Spanish words. Behavior Research Methods","https://doi.org/10.3758/s13428-014-0454-2","Alonso2015.csv","aoa","word_spanish","aoa_mean","aoa_sd",,1.12,10.96
"María Ángeles Alonso, Emiliano Díez, Angel Fernandez. (2016). Subjective age-of-acquisition norms for 4,640 verbs in Spanish. Behavior Research Methods","https://doi.org/10.3758/s13428-015-0675-z","Alonso2016.csv","aoa","word_spanish","aoa_mean","aoa_sd",,3.14,16.33
"Jeanette Altarriba, Lisa M. Bauer, Claudia Benvenuto. (1999). Concreteness, context availability, and imageability ratings and word associations for abstract, concrete, and emotion words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03200738","Altarriba1999.csv","concrete","word_english","concrete_mean",,,2.1,6.9
"Jeanette Altarriba, Lisa M. Bauer, Claudia Benvenuto. (1999). Concreteness, context availability, and imageability ratings and word associations for abstract, concrete, and emotion words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03200738","Altarriba1999.csv","imagine","word_english","imagine_mean",,,1.4,6.6
"Bernardo Álvarez, Fernando Cuetos. (2007). Objective age of acquisition norms for a set of 328 words in Spanish. Behavior Research Methods","https://doi.org/10.3758/bf03193006","Alvarez2007.csv","aoa","word_spanish","aoa_mean",,,30,185
"Reem S.W. Alyahya, Judit Druks. (2016). The adaptation of the Object and Action Naming Battery into Saudi Arabic. Aphasiology","https://doi.org/10.1080/02687038.2015.1070947","Alyahya2015.csv","aoa","word_arabic","aoa_mean",,,1.94,5.05
"Reem S.W. Alyahya, Judit Druks. (2016). The adaptation of the Object and Action Naming Battery into Saudi Arabic. Aphasiology","https://doi.org/10.1080/02687038.2015.1070947","Alyahya2015.csv","aoa_synonym","word_arabic","aoa_mean_synonym",,,2.76,5.72
"Reem S.W. Alyahya, Judit Druks. (2016). The adaptation of the Object and Action Naming Battery into Saudi Arabic. Aphasiology","https://doi.org/10.1080/02687038.2015.1070947","Alyahya2015.csv","imagine","word_arabic","imagine_mean",,,3.48,6.45
"Reem S.W. Alyahya, Judit Druks. (2016). The adaptation of the Object and Action Naming Battery into Saudi Arabic. Aphasiology","https://doi.org/10.1080/02687038.2015.1070947","Alyahya2015.csv","imagine_synonym","word_arabic","imagine_mean_synonym",,,3.31,5.48
"Ben D. Amsel, Thomas P. Urbach, Marta Kutas. (2012). Perceptual and motor attribute ratings for 559 object concepts. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0215-z","Amsel2012.csv","familiar","word_english","familiar_mean",,,3.41,7.81
"Mehdi Bakhtiar, Reza Nilipour, Brendan S. Weekes. (2013). Predictors of timed picture naming in Persian. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0298-6","Bakhtiar2013.csv","aoa","word_persian_phonetic","aoa_mean",,,2.33,8.54
"Mehdi Bakhtiar, Reza Nilipour, Brendan S. Weekes. (2013). Predictors of timed picture naming in Persian. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0298-6","Bakhtiar2013.csv","familiar","word_persian_phonetic","familiar_mean",,,2.66,4.88
"Mehdi Bakhtiar, Reza Nilipour, Brendan S. Weekes. (2013). Predictors of timed picture naming in Persian. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0298-6","Bakhtiar2013.csv","imagine","word_persian_phonetic","imagine_mean",,,2.81,4.9
"Riccardo Barbarotto, Marcella Laiacona, Erminio Capitani. (2005). Objective versus estimated age of word acquisition: A study of 202 Italian children. Behavior Research Methods","https://doi.org/10.3758/bf03192735","Barbarotto2005.csv","aoa_objective","word_italian","aoa_mean_objective",,,36.5,66.5
"Riccardo Barbarotto, Marcella Laiacona, Erminio Capitani. (2005). Objective versus estimated age of word acquisition: A study of 202 Italian children. Behavior Research Methods","https://doi.org/10.3758/bf03192735","Barbarotto2005.csv","aoa_subjective","word_italian","aoa_mean_subjective",,,0.5,99.5
"Riccardo Barbarotto, Marcella Laiacona, Erminio Capitani. (2005). Objective versus estimated age of word acquisition: A study of 202 Italian children. Behavior Research Methods","https://doi.org/10.3758/bf03192735","Barbarotto2005.csv","aoa_subjective_female","word_italian","aoa_mean_subjective_female",,,0.93,100
"Riccardo Barbarotto, Marcella Laiacona, Erminio Capitani. (2005). Objective versus estimated age of word acquisition: A study of 202 Italian children. Behavior Research Methods","https://doi.org/10.3758/bf03192735","Barbarotto2005.csv","aoa_subjective_male","word_italian","aoa_mean_subjective_male",,,0,100
"Laura Barca, Cristina Burani, Lisa S. Arduino. (2002). Word naming times and psycholinguistic norms for Italian nouns. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195471","Barca2002.csv","aoa","word_italian","aoa_mean","aoa_sd",,1.09,6.77
"Laura Barca, Cristina Burani, Lisa S. Arduino. (2002). Word naming times and psycholinguistic norms for Italian nouns. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195471","Barca2002.csv","concrete","word_italian","concrete_mean","concrete_sd",,2.05,7
"Laura Barca, Cristina Burani, Lisa S. Arduino. (2002). Word naming times and psycholinguistic norms for Italian nouns. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195471","Barca2002.csv","familiar","word_italian","familiar_mean","familiar_sd",,3.41,7
"Laura Barca, Cristina Burani, Lisa S. Arduino. (2002). Word naming times and psycholinguistic norms for Italian nouns. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195471","Barca2002.csv","imagine","word_italian","imagine_mean","imagine_sd",,1.89,6.68
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","imagine","word_english","imagine_mean",,,2.67,4.75
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","imagine_female","word_english","imagine_mean_female",,,2.69,4.91
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","imagine_male","word_english","imagine_mean_male",,,2.52,4.78
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","pleasant","word_english","pleasant_mean",,,1.28,4.83
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","pleasant_female","word_english","pleasant_mean_female",,,1.11,4.97
"Francis S. Bellezza, Anthony G. Greenwald, Mahzarin R. Banaji. (1986). Words high and low in pleasantness as rated by male and female college students. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03204403","Bellezza1986.csv","pleasant_male","word_english","pleasant_mean_male",,,1.44,4.69
"John Benjafield, Ron Muckenheim. (1989). Dates of entry and measures of imagery, concreteness, goodness, and familiarity for 1,046 words sampled from theOxford English Dictionary. Behavior Research Methods, Instruments & Computers","https://doi.org/10.3758/bf03203869","Benjafield1989.csv","concrete","word_english","concrete_mean",,,2.23,6.8
"John Benjafield, Ron Muckenheim. (1989). Dates of entry and measures of imagery, concreteness, goodness, and familiarity for 1,046 words sampled from theOxford English Dictionary. Behavior Research Methods, Instruments & Computers","https://doi.org/10.3758/bf03203869","Benjafield1989.csv","familiar","word_english","familiar_mean",,,1.23,7
"John Benjafield, Ron Muckenheim. (1989). Dates of entry and measures of imagery, concreteness, goodness, and familiarity for 1,046 words sampled from theOxford English Dictionary. Behavior Research Methods, Instruments & Computers","https://doi.org/10.3758/bf03203869","Benjafield1989.csv","imagine","word_english","imagine_mean",,,1.27,6.84
"Stephen D. R. Bennett, A. Nicole Burnett, Paul D. Siakaluk, Penny M. Pexman. (2011). Imageability and body–object interaction ratings for 599 multisyllabic nouns. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0117-5","Bennett2011.csv","imagine","word_english","imagine_mean","imagine_sd",,2.26,6.67
"Pablo Bernabeu. (2020). Dutch modality exclusivity norms for 336 properties and 411 concepts","https://doi.org/10.31234/osf.io/s2c5h","Bernabeu2018.csv","aoa_brysbaertetal2014","word_dutch","aoa_mean_brysbaertetal2014",,,3.41,14.08
"Pablo Bernabeu. (2020). Dutch modality exclusivity norms for 336 properties and 411 concepts","https://doi.org/10.31234/osf.io/s2c5h","Bernabeu2018.csv","concrete_brysbaertetal2014","word_dutch","concrete_mean_brysbaertetal2014",,,1.2,5
"Raymond W. Berrian, Douglas P. Metzler, Neal E. Kroll, Gail M. Clark-Meyers. (1979). Estimates of imagery, ease of definition, and animateness for 328 adjectives.. Journal of Experimental Psychology: Human Learning and Memory","https://doi.org/10.1037/0278-7393.5.4.435","Berrian1979.csv","imagine","word_english","imagine_mean","imagine_sd",,1.7,4.79
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","arousal_lsa","word_english","arousal_mean_lsa",,,3.91,6.4
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","arousal_norms","word_english","arousal_mean_norms",,,2.5,8.17
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","concrete_lsa","word_english","concrete_mean_lsa",,,2.61,6.45
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","concrete_norms","word_english","concrete_mean_norms",,,1.79,6.83
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","imagine_lsa","word_english","imagine_mean_lsa",,,3.11,6.06
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","imagine_norms","word_english","imagine_mean_norms",,,1.59,6.73
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","valence_lsa","word_english","valence_mean_lsa",,,2.56,7.52
"Yves Bestgen, Nadja Vincze. (2012). Checking and bootstrapping lexical norms by means of word similarity indexes. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0195-z","Bestgen2012.csv","valence_norms","word_english","valence_mean_norms",,,1.25,8.82
"Julia M. H. Birchenough, Robert Davies, Vincent Connelly. (2017). Rated age-of-acquisition norms for over 3,200 German words. Behavior Research Methods","https://doi.org/10.3758/s13428-016-0718-0","Birchenough2017.csv","aoa","word_german","aoa_mean","aoa_sd",,1.67,15.83
"Julia M. H. Birchenough, Robert Davies, Vincent Connelly. (2017). Rated age-of-acquisition norms for over 3,200 German words. Behavior Research Methods","https://doi.org/10.3758/s13428-016-0718-0","Birchenough2017.csv","aoa_likert","word_german","aoa_mean_likert","aoa_sd_likert",,1.19,6.67
"Helen Bird, Sue Franklin, David Howard. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195349","Bird2001.csv","aoa","word_english","aoa_mean",,,122,652
"Helen Bird, Sue Franklin, David Howard. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195349","Bird2001.csv","aoa_mrc","word_english","aoa_mean_mrc",,,153,636
"Helen Bird, Sue Franklin, David Howard. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195349","Bird2001.csv","imagine","word_english","imagine_mean",,,100,674
"Helen Bird, Sue Franklin, David Howard. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195349","Bird2001.csv","imagine_mrc","word_english","imagine_mean_mrc",,,195,655
"Irena Bogunović. (2023). A corpus-based approach to English loanwords,Korpusni pristup engleskim posuđenicama. Fluminensia","https://doi.org/10.31820/f.35.2.1","Bogunovic2023.csv","arousal","word_croatian_equivalent","arousal_mean","arousal_sd",,2.1,8.15
"Irena Bogunović. (2023). A corpus-based approach to English loanwords,Korpusni pristup engleskim posuđenicama. Fluminensia","https://doi.org/10.31820/f.35.2.1","Bogunovic2023.csv","concrete","word_croatian_equivalent","concrete_mean","concrete_sd",,2.71,6.9
"Irena Bogunović. (2023). A corpus-based approach to English loanwords,Korpusni pristup engleskim posuđenicama. Fluminensia","https://doi.org/10.31820/f.35.2.1","Bogunovic2023.csv","familiar","word_croatian_equivalent","familiar_mean","familiar_sd",,3.3,7
"Irena Bogunović. (2023). A corpus-based approach to English loanwords,Korpusni pristup engleskim posuđenicama. Fluminensia","https://doi.org/10.31820/f.35.2.1","Bogunovic2023.csv","valence","word_croatian_equivalent","valence_mean","valence_sd",,1.6,8.65
